country,cluster,degree
France,1,31
Ireland,1,26
Norway,1,26
Albania,1,24
Malta,1,24
Poland,1,24
Germany,1,23
Italy,1,23
Estonia,1,22
European Union,1,22
United Kingdom Of Great Britain And Northern Ireland,1,22
Lithuania,1,21
Japan,1,20
Latvia,1,20
Switzerland,1,18
United States Of America,1,18
Ukraine,1,17
Romania,1,16
Slovak Republic,1,12
Sweden,1,8
Russian Federation,1,7
Luxembourg,2,15
Nigeria,2,13
Australia,2,12
Chile,2,11
Jordan,2,10
Argentina,2,9
Rwanda,2,9
Spain,2,9
Republic Of Korea,2,7
Malaysia,2,6
New Zealand,2,6
Chad,2,5
Angola,2,1
Belgium,2,1
Netherlands,2,1
Venezuela (Bolivarian Republic Of),2,1
Ghana,3,27
Mexico,3,23
United Arab Emirates,3,22
Ecuador,3,21
Brazil,3,17
Kenya,3,17
Gabon,3,15
Mozambique,3,9
China,3,8
India,3,6
Bolivia (Plurinational State Of),3,1
Indonesia,4,0
