country,cluster,degree
Chile,1,15
Rwanda,1,14
Nigeria,1,13
Jordan,1,12
Argentina,1,9
Malaysia,1,9
Republic Of Korea,1,9
New Zealand,1,7
Angola,1,5
Chad,1,5
Spain,1,5
Belgium,1,4
Bolivia (Plurinational State Of),1,3
Netherlands,1,2
Venezuela (Bolivarian Republic Of),1,2
France,2,19
Australia,2,17
Luxembourg,2,16
Lithuania,2,14
United Kingdom Of Great Britain And Northern Ireland,2,12
Poland,2,10
United States Of America,2,10
Germany,2,9
Ukraine,2,9
Russian Federation,2,8
Sweden,2,6
China,3,0
Indonesia,4,0
Ireland,5,0
