feature,chi2,p,n_target,n_reference
russia,1007.89354521596,0,2206,129
russia's,538.7129550203377,0,1097,46
russian,442.82800487751894,0,1540,231
ukrainian,316.1405295750529,0,1157,184
aggression,286.3329560588251,0,797,85
forces,155.02519352996958,0,353,23
crimes,150.4051657823388,0,532,81
illegal,98.6161261842397,0,215,12
let,90.96550400623555,0,313,46
territory,85.99540680282583,0,324,53
putin,85.28197623483094,0,153,2
ukrainians,83.16334738317235,0,283,41
ukraine's,74.59939052616409,0,515,135
missiles,70.52101177364882,0,159,10
occupied,67.6085031055716,2.220446049250313e-16,185,19
unprovoked,65.81476225936673,4.440892098500626e-16,120,2
committed,63.95060079439403,1.2212453270876722e-15,285,55
crime,63.296997529557075,1.7763568394002505e-15,150,11
putin's,61.405042575794276,4.6629367034256575e-15,104,0
invasion,57.09151157176739,4.163336342344337e-14,229,40
killed,56.07768344733037,6.961098364399732e-14,241,45
territories,55.9643594071102,7.382983113757291e-14,167,20
launched,53.63112981617605,2.419175970658216e-13,115,6
right,52.47730061218093,4.3520742565306136e-13,214,38
today,51.94374923051794,5.710987238671805e-13,459,136
president,50.665241170083,1.095457058397642e-12,399,112
aggressor,49.41198964013774,2.0747847884194925e-12,88,1
polish,45.19183358146933,1.786482073384832e-11,89,3
day,45.17175516665594,1.804889571133117e-11,260,61
just,45.09620716984429,1.8758883335578957e-11,410,123
stop,45.05890880475487,1.911959479627967e-11,275,67
missile,44.669903102863785,2.33214558775785e-11,155,23
defend,44.632938630353635,2.3765989176638413e-11,117,11
kremlin,44.27727199284341,2.8500646287454856e-11,75,0
attack,43.29097351132801,4.717548574006969e-11,248,58
people,43.22072142034845,4.890010618652241e-11,1086,444
killing,42.867813116098944,5.85663739727238e-11,100,7
army,42.33266760581761,7.699563209229154e-11,76,1
say,40.73278137244039,1.7453460898764206e-10,110,11
one,40.457337445702215,2.009563626614863e-10,467,154
withdraw,40.16586521467016,2.332891657630398e-10,172,32
freedom,39.7205514396815,2.9302571480371853e-10,98,8
evidence,39.01171513476031,4.2126990784652207e-10,126,17
brutal,38.58913214191058,5.230937905054134e-10,96,8
terror,38.26387017219778,6.179626810265404e-10,81,4
soviet,38.2045696806313,6.37030650452175e-10,69,1
accountable,37.953248310943756,7.246032662777679e-10,124,17
full-scale,37.78158580587073,7.912513977359481e-10,64,0
russians,37.614952737217195,8.618129543336295e-10,68,1
moscow,36.59625712277293,1.4531046366172973e-9,89,7
court,36.53360331506043,1.5005692244329794e-9,186,40
soldiers,36.33232085736842,1.66381630695156e-9,92,8
member,35.92535480947919,2.050233094408327e-9,253,67
minister,34.799798117642034,3.6541134562639854e-9,118,17
immediately,34.17468018357341,5.038021333447773e-9,204,49
fight,34.08065603457839,5.287428939126926e-9,70,3
citizens,33.81076738683869,6.074174496717433e-9,77,5
torture,33.763709454807554,6.222895310159515e-9,84,7
deported,33.64826920147294,6.603360747092779e-9,57,0
said,32.993685728142914,9.245866627871635e-9,165,35
deportation,32.899236729760815,9.706136783194097e-9,60,1
another,32.872760463081704,9.839231540631488e-9,211,53
everything,32.77950902755824,1.0322727561629108e-8,105,14
kyiv,32.491114415229234,1.1973874558535158e-8,145,28
blatant,32.27340059738924,1.3393431808061962e-8,63,2
so-called,31.846441306768114,1.6685509751646066e-8,84,8
schools,31.675825207819262,1.8217584663027253e-8,170,38
completely,31.1670818508735,2.3674685656338568e-8,65,3
sham,31.131501467062684,2.4112631002992657e-8,57,1
entire,30.844576788769672,2.7954223491555297e-8,155,33
criminal,30.783238895257252,2.8851918076888694e-8,168,38
partners,30.639513729683415,3.107012702674439e-8,107,16
regime,29.92885030244298,4.4819407074569995e-8,59,2
atrocities,29.927342314530513,4.4854278069550446e-8,145,30
stand,29.64090829328196,5.1995933225690294e-8,168,39
choice,29.61987421168912,5.256322876956432e-8,80,8
propaganda,29.579138735864785,5.367957134350121e-8,66,4
justice,29.571433476339575,5.389338786354614e-8,203,53
kill,28.924766269187604,7.52446630558623e-8,49,0
held,28.72355344697423,8.34821950457254e-8,196,51
equipment,28.563683252052293,9.066683570591039e-8,97,14
nothing,28.242440487046448,1.0703182284910184e-7,84,10
crimea,28.17205289351807,1.109957359357594e-7,56,2
know,28.14024920449746,1.12834708798637e-7,162,38
ports,28.076027926928088,1.1664175625369921e-7,122,23
unconditionally,27.95836712189188,1.239538159891751e-7,77,8
seat,27.59741789451406,1.4937804293513324e-7,51,1
€,27.59741789451406,1.4937804293513324e-7,51,1
started,27.40628669652931,1.6489431020616507e-7,76,8
deliberately,27.27665966266484,1.7632707072223752e-7,62,4
seen,26.41200067708535,2.7582148554028407e-7,113,21
violation,25.95760654351729,3.4899759260298424e-7,167,42
terrorist,25.83122357242283,3.7261177687764047e-7,48,1
clear,25.821775209367736,3.744402190530849e-7,250,77
union,25.153740160174184,5.293688610796821e-7,150,36
temporarily,24.781626185512536,6.420659800498996e-7,54,3
heard,24.257439783895627,8.428090649825748e-7,192,54
drones,24.203290825559023,8.668403860268015e-7,53,3
baltic,24.20156994587998,8.676152760678235e-7,41,0
tribunal,24.20156994587998,8.676152760678235e-7,41,0
transferred,24.079675333827197,9.243075491660591e-7,49,2
defence,23.703821180470484,1.1235922470209658e-6,66,7
courage,23.625399549436896,1.1703250392125497e-6,52,3
illegally,23.611191962423433,1.17899783957931e-6,40,0
formula,23.549711390036762,1.217276834664105e-6,59,5
defending,23.495996151362135,1.2517399083922243e-6,48,2
committing,22.91259608177055,1.695372270793527e-6,47,2
unjustified,22.880253072446813,1.7241407169743539e-6,74,10
tons,22.21375992091611,2.4391942944346212e-6,133,32
family,22.055767483901704,2.6484271409277227e-6,63,7
authorities,21.739098317492243,3.123598132481753e-6,95,18
strike,21.50880756910713,3.5220729782681204e-6,62,7
city,21.378292863872932,3.770156632110222e-6,97,19
days,21.304092853494822,3.918938821012574e-6,170,48
attacked,21.16424945547486,4.215551754782609e-6,44,2
officials,21.16424945547486,4.215551754782609e-6,44,2
grain,21.104003643707262,4.350182914891754e-6,533,218
decided,20.989752506673838,4.617465283240918e-6,51,4
yet,20.533837643808987,5.858636872746459e-6,139,36
filtration,20.32812413258353,6.523463925600659e-6,63,8
lies,20.32812413258353,6.523463925600659e-6,63,8
truth,20.32812413258353,6.523463925600659e-6,63,8
billion,20.273993677352383,6.710656289099504e-6,66,9
defeat,20.06902465469461,7.469673850679648e-6,34,0
children,19.540709024162222,9.847851923150408e-6,837,376
european,19.480691886900836,1.0162172080052656e-5,193,60
systematic,19.41912880198642,1.0495058680892733e-5,41,2
single,19.3623612666743,1.081171070671516e-5,37,1
second,18.87569619127943,1.395189180319889e-5,97,21
wants,18.83825668374495,1.4228439996322173e-5,40,2
rape,18.693661399013443,1.5349188198898744e-5,66,10
trying,18.693661399013443,1.5349188198898744e-5,66,10
genocide,18.509942804652635,1.6902025975484847e-5,50,5
everyone,18.33059622953018,1.8570068223477953e-5,74,13
iran,18.298005665142103,1.889048277126104e-5,31,0
troops,18.0753117430212,2.123368754269883e-5,152,44
us,18.03470743141508,2.169140364627342e-5,402,160
