feature,chi2,p,n_target,n_reference
humanitarian,11.307759393991317,7.718385609940537e-4,3967,0
war,10.258287857874734,0.0013607190619765452,3601,0
civilians,5.474373572996276,0.019297275629589605,1927,0
rights,5.19227994359403,0.022687433762649034,1828,0
children,5.129604960775688,0.023521080443739795,1806,0
conflict,4.337993153286834,0.03727082989429842,2176,1
people,4.210297741980986,0.040179283997123894,3254,3
including,4.138474253787929,0.041918936035446164,2104,1
food,3.8659747361089565,0.04927456417888976,1697,0
military,3.728083498430152,0.053504751491989966,1648,0
human,3.5784782096582552,0.058532749163569986,1901,1
civilian,3.404940101388349,0.06500147412672586,1533,0
minsk,2.970662179113519,0.084787142063807,1378,0
russia’s,2.945498260426858,0.08611713762230244,1369,0
resolution,2.4881965143264297,0.11470309601458506,1205,0
attacks,2.435390469703609,0.11862435329596521,1186,0
aggression,2.3437751844788086,0.1257843916049296,1153,0
support,2.338161958063671,0.12623842762746107,1985,2
infrastructure,2.188625081455483,0.13903337500731117,1097,0
kyiv,2.125029957227471,0.14490994746639585,1074,0
just,2.1139780460137296,0.14595945927539034,1070,0
access,1.9898205387201156,0.15835964487158483,1025,0
violence,1.9319985903231787,0.16453995484081452,1004,0
million,1.9017431281199748,0.16788333726345372,993,0
grain,1.81660433788478,0.17771800392550652,962,0
global,1.8083754613646372,0.1787032314967677,959,0
crisis,1.7119363588825132,0.19073433046503363,1473,1
spoke,1.701579050882267,0.19208160111299377,920,0
territory,1.6305795554319118,0.2016229066362083,894,0
general,1.6114934962350607,0.20428198958732147,887,0
mission,1.5896967016891128,0.2073694720348337,879,0
assistance,1.5869733115999416,0.20775909667652515,878,0
ukraine’s,1.5869733115999416,0.20775909667652515,878,0
crimes,1.5461555719410611,0.21370388113693672,863,0
donetsk,1.4918324793252415,0.2219323578809681,843,0
ceasefire,1.48098227213647,0.223620899941266,839,0
countries,1.361666021761366,0.2432489540746985,1329,1
must,1.3199594808542683,0.250599322733986,2933,5
even,1.300036969941002,0.254206470730183,772,0
osce,1.2704880754803212,0.25967513724724345,761,0
women,1.2704880754803212,0.25967513724724345,761,0
let,1.2356311433719487,0.266314703309921,748,0
ms,1.200847511373205,0.27315235386357395,735,0
made,1.18481931174313,0.27637705884272057,729,0
initiative,1.1821495709868455,0.2769188197397481,728,0
monitoring,1.1714753224025183,0.27909830875229413,724,0
may,1.168807948453906,0.2796463104259751,723,0
organization,1.1261964854375732,0.2885880919258976,707,0
efforts,1.1128967857904701,0.2914531173909035,1700,2
ukrainians,1.070469288000007,0.3008394688278202,686,0
areas,1.0394786302554107,0.3079427597152121,1191,1
continues,1.0176249700677278,0.3130830360940142,666,0
briefing,1.0149889885516028,0.3137105912476801,665,0
killed,0.9650250278315393,0.32592406454127454,646,0
ukrainian,0.9352763182720001,0.3334956198098098,3967,8
continue,0.9341575437045563,0.3337849151450776,1612,2
law,0.9243964930124622,0.3363232385314098,2273,4
line,0.9205243630832506,0.33733732930690963,629,0
end,0.920266661925387,0.3374049652959823,1138,1
every,0.9126925260470921,0.3394010202584483,626,0
implementation,0.9022603570898174,0.34217634855576207,622,0
day,0.8918401436569201,0.3449791331732638,618,0
groups,0.8710365123786212,0.3506685179722635,610,0
stop,0.8684395807953238,0.35138766111587083,609,0
said,0.8528748328385308,0.35574033166811747,603,0
armed,0.8453802928363762,0.35786252419558096,1104,1
suffering,0.8451034639120995,0.3579412449211782,600,0
reiterate,0.8425146648881616,0.3586785644358128,599,0
lives,0.829583285612381,0.36239305398595967,594,0
urge,0.8192535749514925,0.36539849337302,590,0
regions,0.8166733210704012,0.36615460739176386,589,0
many,0.8106097603060908,0.3679400362760006,1088,1
reports,0.7780774510820115,0.377729769219616,574,0
attack,0.7575792122831664,0.38408716529246534,566,0
fully,0.7550213273388815,0.38489109058068727,565,0
floor,0.7499085440862601,0.3865051877979353,563,0
donbas,0.7447997781741698,0.38812766280245437,561,0
secretary-general,0.7293357434128044,0.3930985846615447,1050,1
needs,0.7269513563672013,0.3938731609446312,554,0
independence,0.716775315884307,0.39720370537299343,550,0
number,0.7142339827181929,0.39804180541361955,549,0
around,0.7116937319556904,0.3988821067376146,548,0
luhansk,0.7091545694820466,0.39972461727016495,547,0
victims,0.7091545694820466,0.39972461727016495,547,0
past,0.6762472496320696,0.410881973216347,534,0
days,0.6661612336314852,0.41439318576029804,530,0
also,0.6611077843709736,0.4161691259796342,2947,6
protection,0.6535808111128266,0.4188353479569683,525,0
critical,0.6510684080231267,0.41973095465187527,524,0
february,0.6335168036749544,0.42606825406472193,517,0
remains,0.6285135975884583,0.4279010607614866,515,0
justice,0.6210186271821866,0.4306690094748329,512,0
displaced,0.6185229579602235,0.4315966940970436,511,0
want,0.6185229579602235,0.4315966940970436,511,0
hostilities,0.6160286287812524,0.43252691226059414,510,0
western,0.6135356474884074,0.4334596736541063,509,0
serious,0.5911607959045575,0.44197059687870677,500,0
destruction,0.5886817387392391,0.44292933537672885,499,0
contact,0.5862041199481487,0.4438907272883449,498,0
energy,0.5837279481573449,0.4448547829692244,497,0
months,0.5787799804293596,0.4467909273537769,495,0
separatists,0.573837905967767,0.44873785255134546,493,0
immediate,0.571369101028834,0.44971538447250037,492,0
investigation,0.571369101028834,0.44971538447250037,492,0
france,0.5418631256871435,0.4616616108378353,480,0
refugees,0.5369676148773684,0.4636921692631166,478,0
border,0.5174518074328321,0.4719306971210714,470,0
office,0.5125898367184143,0.4740198796807942,468,0
impact,0.5028868841250081,0.47823438943452656,464,0
dialogue,0.5023600129156839,0.4784649844346628,938,1
asked,0.5013904181557399,0.4788898208194564,177,0
choice,0.5013904181557399,0.4788898208194564,177,0
play,0.5013904181557399,0.4788898208194564,177,0
control,0.5004655844079077,0.47929561985696856,463,0
help,0.5004655844079077,0.47929561985696856,463,0
fighting,0.49804608299903147,0.48035991675297673,462,0
humanity,0.49572336147271645,0.4813852916042527,175,0
increasing,0.49572336147271645,0.4813852916042527,175,0
indiscriminate,0.49572336147271645,0.4813852916042527,175,0
priority,0.49572336147271645,0.4813852916042527,175,0
sovereign,0.49572336147271645,0.4813852916042527,175,0
