feature,chi2,p,n_target,n_reference
kyiv,430.8978785172007,0,713,47
western,346.4943364676872,0,475,7
colleagues,138.11174937210077,0,238,18
west,78.82966172660845,0,126,7
authorities,66.25053398644485,4.440892098500626e-16,243,62
package,63.734668124161495,1.4432899320127035e-15,106,7
states,63.583240538442304,1.5543122344752192e-15,286,85
regime,60.139599088177995,8.881784197001252e-15,239,65
people's,52.896034587815976,3.517186542012496e-13,134,23
donbas,50.86575892314383,9.889866703360894e-13,312,111
kyiv's,50.63582446594987,1.1119993814645568e-12,66,0
maidan,45.02712082971836,1.943245564461904e-11,72,4
american,44.38363970945117,2.699329648692128e-11,68,3
however,42.758569052376245,6.193001667043063e-11,186,54
nationalists,42.284620769130285,7.891065578746748e-11,62,2
course,42.124519974212745,8.564260411958458e-11,101,16
even,38.850285638595764,4.575869683165479e-10,218,74
measures,37.86601588216465,7.577375393807984e-10,116,25
nato,36.793271387633425,1.3134278109561137e-9,58,3
washington,36.053935953309214,1.9193071576495413e-9,47,0
coup,34.475587866212834,4.316310087126851e-9,58,4
ukrainian,34.03118436267028,5.423583804287091e-9,1041,593
sponsors,33.89559645194688,5.8150165793691144e-9,51,2
radicals,33.75189541448616,6.2608013218223846e-9,44,0
understand,33.14667604447249,8.546234497863736e-9,78,12
political,31.368770516597426,2.1338569355933146e-8,186,65
interests,30.911916765115908,2.7000873092930533e-8,59,6
fact,30.739569511290508,2.950857602712631e-8,207,77
mr,30.476152120049747,3.379959934157739e-8,221,85
operation,29.241074978170882,6.390992524085704e-8,115,31
point,28.17904093203376,1.105957109226452e-7,78,15
zelenskyy,26.286699893947137,2.943085051221317e-7,82,18
european,25.370432660134068,4.731143716796282e-7,100,27
anti-russian,25.311926696537007,4.876839276857226e-7,33,0
nationalist,24.956275204019722,5.864533798582983e-7,36,1
republic,23.607371599513176,1.1813408971050876e-6,121,39
eu,23.263662886795377,1.4124346658928033e-6,37,2
topic,23.263662886795377,1.4124346658928033e-6,37,2
say,23.149357152458435,1.4989330660020173e-6,124,41
media,23.022790313844997,1.6009229025781835e-6,79,19
people,22.84309682962341,1.7577953628222787e-6,477,253
meeting,22.571279671971933,2.0248914616161073e-6,249,112
agreement,22.43485348197944,2.173930596649498e-6,107,33
simply,22.149146110488502,2.5226814770462624e-6,84,22
countries,21.2095483838773,4.117083129862031e-6,175,71
blame,20.996832075522036,4.600434236223805e-6,34,2
geopolitical,20.996832075522036,4.600434236223805e-6,34,2
allegedly,20.994755545237275,4.605423121417651e-6,37,3
example,20.9717164544772,4.6611404148633184e-6,82,22
ms,20.961231843273293,4.686719689672714e-6,60,12
direct,20.79199860931707,5.119641173556566e-6,71,17
mention,20.545613553539017,5.822706380720355e-6,42,5
delegations,20.375706351898366,6.363249654750547e-6,47,7
british,20.374399632626112,6.367596322554014e-6,30,1
ignore,20.242569273356136,6.821791282196621e-6,33,2
south-east,20.242569273356136,6.821791282196621e-6,33,2
dialogue,20.23967820645536,6.832108123910885e-6,95,29
said,20.1446938779661,7.179914886523697e-6,176,73
know,19.799909404611792,8.598675211524132e-6,104,34
representatives,19.734012341629082,8.90031382816403e-6,121,43
something,19.44491338499722,1.0354322822592188e-5,53,10
social,19.180647523472846,1.1891283915987927e-5,64,15
strikes,19.01326866993536,1.2981262193956233e-5,57,12
constitutional,18.983277455357356,1.3186912334206546e-5,45,7
made,18.45128104768975,1.7430362282855327e-5,142,56
hear,18.20722511260759,1.9812580529965373e-5,58,13
militias,17.64038210592563,2.6686136074149935e-5,23,0
residents,17.59101485048405,2.738793253997951e-5,92,30
republics,17.447283944962575,2.9538602648537804e-5,59,14
russian-speaking,17.447232009372925,2.953940967476143e-5,35,4
spoke,17.289690921955255,3.2092322948096275e-5,32,3
floor,17.035259738896233,3.6692093751788946e-5,47,9
luhansk,16.956002526523868,3.8256169775818805e-5,163,70
south-eastern,16.56398011043351,4.703594824362334e-5,25,1
try,16.234070386279384,5.597828186065801e-5,41,7
brussels,16.10620507965646,5.988749269325577e-5,21,0
prefer,16.10620507965646,5.988749269325577e-5,21,0
punitive,16.10620507965646,5.988749269325577e-5,21,0
rada,16.10620507965646,5.988749269325577e-5,21,0
inhabitants,16.003181928061153,6.323611405711915e-5,33,4
using,15.881743394710318,6.742600736375781e-5,69,20
nationalism,15.339133051468213,8.983616922497717e-5,20,0
radical,15.339133051468213,8.983616922497717e-5,20,0
regime's,15.339133051468213,8.983616922497717e-5,20,0
special,15.199168029418475,9.674603483833533e-5,167,75
battalions,14.98888434351263,1.0814633055744594e-4,26,2
essentially,14.98888434351263,1.0814633055744594e-4,26,2
text,14.98888434351263,1.0814633055744594e-4,26,2
view,14.569493085082062,1.3508387727989568e-4,31,4
statements,14.485793085803532,1.4122060467947062e-4,84,29
crisis,14.432173357187873,1.452986540497747e-4,115,46
position,14.222471913704979,1.6241929332805327e-4,64,19
talk,14.209575248755717,1.635362311230848e-4,38,7
longer,14.153778251237776,1.6845845549895433e-4,33,5
years,14.148159560244729,1.6896231382113047e-4,149,66
today's,14.073083888617587,1.7584222985278508e-4,98,37
provocation,13.89623713718661,1.931848462982666e-4,51,13
though,13.524107157392171,2.3551841195956769e-4,21,1
died,13.299651609505714,2.654554383497709e-4,50,13
egregious,13.037982903854779,3.052366707062548e-4,17,0
fertilizers,13.037982903854779,3.052366707062548e-4,17,0
iraq,13.037982903854779,3.052366707062548e-4,17,0
verkhovna,13.037982903854779,3.052366707062548e-4,17,0
talking,12.88144326680023,3.3185621966114187e-4,36,7
asked,12.768314464117175,3.5254036305787384e-4,31,5
perfectly,12.765860903044828,3.5300308829255833e-4,20,1
detail,12.757408999239896,3.5460175530155347e-4,23,2
french,12.757408999239896,3.5460175530155347e-4,23,2
openly,12.372336448707575,4.357419793360462e-4,42,10
note,12.12329681672147,4.979579042014848e-4,48,13
colleague,12.034031261374043,5.223797628355342e-4,54,16
recall,12.029570628719817,5.236313725749397e-4,56,17
networks,12.008506782861339,5.295827042673951e-4,19,1
place,11.993541126028415,5.338525153476548e-4,88,34
paragraph,11.797858479928959,5.929889307613179e-4,32,6
opposition,11.573469809636434,6.689946548159575e-4,34,7
backers,11.503937750543647,6.944890732510922e-4,15,0
kosovo,11.503937750543647,6.944890732510922e-4,15,0
reckless,11.503937750543647,6.944890732510922e-4,15,0
russophobia,11.503937750543647,6.944890732510922e-4,15,0
russophobic,11.503937750543647,6.944890732510922e-4,15,0
sabotage,11.462962048776983,7.099704616012614e-4,24,3
regard,11.426036508465392,7.242201206036913e-4,113,49
accusations,11.400399322857956,7.342832055985404e-4,29,5
version,11.279927728696332,7.834960660633161e-4,21,2
various,11.25813281501117,7.92749132828563e-4,38,9
double,11.252183924706767,7.95293875236136e-4,18,1
perhaps,11.07036747095071,8.771829644240725e-4,42,11
implemented,11.011512194003478,9.054774449175351e-4,44,12
want,10.992558954854523,9.147841783927468e-4,117,52
forces,10.930815544967093,9.457785370036165e-4,290,161
dc,10.736931656708988,0.0010501832067604244,14,0
shields,10.54506529015735,0.001164987069537493,20,2
whose,10.525072476060245,0.0011776579374308538,59,20
neo-nazi,10.497062373801995,0.0011956448398847686,17,1
socioeconomic,10.497062373801995,0.0011956448398847686,17,1
went,10.288749422238803,0.001338437708480078,32,7
weapons,10.234098580132303,0.0013786797243015014,177,90
give,10.030723127636112,0.0015395058639666725,71,27
essence,9.969936551106755,0.0015911697554353843,13,0
eye,9.969936551106755,0.0015911697554353843,13,0
deal,9.849274867568573,0.0016989871635689768,48,15
thanks,9.82713895491875,0.0017195561443068552,29,6
begun,9.81327869194008,0.0017325635592989608,19,2
oblast,9.81327869194008,0.0017325635592989608,19,2
intend,9.743352186063701,0.0017997239156837264,16,1
irresponsible,9.743352186063701,0.0017997239156837264,16,1
discussing,9.665095911684546,0.001878019567729261,24,4
became,9.528525076031713,0.0020230263645651947,33,8
becoming,9.388841573217206,0.0021831010806703244,26,5
seeing,9.388841573217206,0.0021831010806703244,26,5
refused,9.369481683335916,0.0022062789752643752,37,10
eight,9.316619170380205,0.0022708461352239917,47,15
former,9.316619170380205,0.0022708461352239917,47,15
capitals,9.202952433500823,0.002416251076724496,12,0
matters,9.202952433500823,0.002416251076724496,12,0
