country,cluster,degree
France,1,31
Ireland,1,28
Norway,1,27
Albania,1,26
Poland,1,26
Estonia,1,25
Malta,1,25
Italy,1,24
Germany,1,23
Lithuania,1,23
United Kingdom Of Great Britain And Northern Ireland,1,23
European Union,1,22
United States Of America,1,21
Japan,1,20
Latvia,1,20
Switzerland,1,19
Ukraine,1,18
Romania,1,16
Slovak Republic,1,12
Sweden,1,12
Russian Federation,1,10
Australia,2,18
Luxembourg,2,16
Nigeria,2,15
Chile,2,13
Spain,2,11
Jordan,2,10
Rwanda,2,9
Argentina,2,8
Malaysia,2,8
New Zealand,2,6
Republic Of Korea,2,6
Bolivia (Plurinational State Of),2,4
Angola,2,3
Belgium,2,3
Chad,2,3
Netherlands,2,2
Venezuela (Bolivarian Republic Of),2,2
Ghana,3,28
United Arab Emirates,3,26
Mexico,3,25
Ecuador,3,21
Kenya,3,21
Brazil,3,18
Gabon,3,16
Mozambique,3,9
China,3,8
India,3,6
Indonesia,4,0
OSCE,5,0
Save Ukraine,6,0
